        1     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.577194037E+05     0.991416756E+04     0.000000000E+00     0.000000000E+00
        2     0.306328077E+05     0.870897730E+04     0.000000000E+00     0.414593179E+03     0.000000000E+00     0.204540416E+04     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
        3     0.000000000E+00     0.239196637E+04     0.114791889E+05     0.360285537E-04     0.000000000E+00     0.379044034E+03     0.000000000E+00     0.470405809E-07     0.251974976E+05     0.000000000E+00
        4     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.862627525E+05     0.681465517E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.150750188E+05
        5     0.121866614E+05     0.000000000E+00     0.000000000E+00     0.132591843E+05     0.322847579E+05     0.000000000E+00     0.236744896E+02     0.000000000E+00     0.000000000E+00     0.000000000E+00
        6     0.000000000E+00     0.306646130E+03     0.000000000E+00     0.385900887E+04     0.869856092E+03     0.000000000E+00     0.000000000E+00     0.896047476E+01     0.739999029E+03     0.000000000E+00
        7     0.000000000E+00     0.602124028E+05     0.000000000E+00     0.498069603E+04     0.633940184E+04     0.334683354E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
        8     0.423393775E+05     0.398573196E+05     0.320528803E+05     0.421844759E+01     0.408434416E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
        9     0.379728034E+01     0.794079911E+05     0.000000000E+00     0.000000000E+00     0.402247165E+04     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.268283091E+05     0.478976878E+04
       10     0.280002896E+03     0.365416216E+04     0.000000000E+00     0.140964379E+04     0.542554006E+05     0.000000000E+00     0.000000000E+00     0.953236937E+05     0.437235638E+05     0.348165847E+05
       11     0.000000000E+00     0.985567044E+05     0.000000000E+00     0.000000000E+00     0.936447535E+05     0.620948196E+02     0.000000000E+00     0.212771468E+05     0.000000000E+00     0.836573188E+04
       12     0.000000000E+00     0.000000000E+00     0.111213277E+05     0.174833674E+05     0.157645991E+05     0.914036821E+02     0.457257822E+02     0.877039645E+02     0.000000000E+00     0.164973744E+05
       13     0.000000000E+00     0.000000000E+00     0.913236266E+04     0.000000000E+00     0.000000000E+00     0.242225448E-04     0.108601695E+05     0.000000000E+00     0.244391922E+05     0.818062565E+05
       14     0.582905696E+02     0.116704760E+02     0.654700905E+05     0.153634151E+02     0.129183325E-04     0.000000000E+00     0.100609311E+02     0.274917343E+04     0.000000000E+00     0.000000000E+00
       15     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.539736553E+04     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.791542727E+05     0.855720682E-01
       16     0.000000000E+00     0.987427228E+05     0.162573462E+05     0.186965650E+05     0.179851624E+00     0.000000000E+00     0.000000000E+00     0.373214262E+03     0.000000000E+00     0.000000000E+00
       17     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.733939149E+05     0.150283631E+03     0.543267385E+05     0.143714087E+05     0.312597615E+04     0.142416387E+05     0.932886921E+05
       18     0.000000000E+00     0.141280802E+03     0.264114631E+03     0.000000000E+00     0.649759228E+02     0.167861499E+02     0.438797378E+05     0.500063535E+05     0.000000000E+00     0.823867312E+02
       19     0.000000000E+00     0.159931854E+05     0.853411565E+03     0.000000000E+00     0.148886145E+05     0.745179177E+03     0.000000000E+00     0.000000000E+00     0.455687882E+02     0.000000000E+00
       20     0.598404963E+05     0.186986976E+04     0.283119874E+03     0.368822193E+03     0.827445465E+03     0.157445409E+05     0.141208703E+03     0.000000000E+00     0.709570713E+05     0.617971167E+01
       21     0.000000000E+00     0.494672637E+05     0.607177033E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.634269815E+05     0.150800445E+04     0.000000000E+00
       22     0.516723877E+04     0.731131394E+05     0.000000000E+00     0.831075029E+01     0.336899871E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.248957297E+04     0.000000000E+00
       23     0.000000000E+00     0.106705137E+04     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.134051512E+01     0.273839610E+03     0.000000000E+00     0.419514617E+00     0.000000000E+00
