        1     0.199077261E+04     0.000000000E+00     0.788819737E+05     0.000000000E+00     0.426240988E+05     0.693360051E+02     0.000000000E+00     0.405902551E+05     0.000000000E+00     0.815198863E+04     0.130523909E+05     0.114607511E+03
        2     0.450760744E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.300171913E-03     0.478326942E+05     0.656353715E+05     0.226982684E-01     0.108963245E+05     0.000000000E+00     0.904828652E+05
        3     0.000000000E+00     0.528933479E+05     0.108597400E+04     0.000000000E+00     0.255216109E+05     0.000000000E+00     0.789554852E+03     0.000000000E+00     0.443703240E+01     0.000000000E+00     0.132742159E+04     0.000000000E+00
        4     0.605858368E+05     0.133176639E+02     0.426183252E+04     0.337046010E+04     0.240152614E+04     0.293540885E+04     0.566141029E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00
        5     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.480314447E+03     0.148498359E+04     0.421258643E-02     0.398683289E+05     0.000000000E+00     0.602495045E+03     0.000000000E+00     0.708495578E+02     0.856165054E-03
        6     0.776827599E+04     0.000000000E+00     0.000000000E+00     0.284786357E+04     0.742893517E+03     0.176339764E+05     0.000000000E+00     0.104505314E+04     0.000000000E+00     0.000000000E+00     0.496940026E+01     0.000000000E+00
        7     0.265421023E+02     0.109585242E+02     0.177774023E+05     0.146896551E+00     0.416034791E+04     0.000000000E+00     0.000000000E+00     0.339429969E+03     0.000000000E+00     0.888785964E+04     0.000000000E+00     0.000000000E+00
        8     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.115796217E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.235427482E+01     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.106334273E+05
        9     0.000000000E+00     0.000000000E+00     0.569511952E+00     0.371784285E+03     0.963249705E-02     0.270394565E+03     0.000000000E+00     0.173493530E-03     0.818777241E+05     0.292873675E+05     0.193332955E+04     0.953063093E+03
       10     0.448687837E+03     0.384445264E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.527799410E+04     0.697094585E+03     0.000000000E+00     0.953991273E+03     0.000000000E+00
       11     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.749569232E-03     0.000000000E+00     0.804717289E+03     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.257318718E+04     0.119137802E-04
       12     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.237720071E+05     0.803076634E+02     0.000000000E+00     0.243802430E-01     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.514498537E+05
       13     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.191621326E+03     0.000000000E+00     0.273694121E+04     0.301007360E+02     0.000000000E+00     0.252353519E+05     0.152963164E+04     0.000000000E+00
       14     0.000000000E+00     0.261110379E+03     0.980036271E-06     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.261259715E+04     0.185611690E+04     0.000000000E+00     0.388403291E+02     0.000000000E+00     0.358225506E+04
       15     0.000000000E+00     0.340653815E+00     0.000000000E+00     0.335141729E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.114663890E-02     0.000000000E+00
       16     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.281531280E+05     0.106331653E-02     0.652519424E+00     0.000000000E+00     0.917584382E+05     0.629090465E+03     0.000000000E+00     0.702351725E+05     0.000000000E+00
       17     0.727018356E+04     0.146768806E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.802181436E+04     0.000000000E+00     0.218480615E+05     0.000000000E+00     0.000000000E+00     0.842010680E+04     0.418469878E+04
       18     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.107758397E+03     0.657746677E+04     0.495401286E+05     0.135068284E+04     0.335850278E+05     0.787539217E+05     0.000000000E+00     0.000000000E+00
       19     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.147880036E+03     0.246411383E+05     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.000000000E+00     0.152355299E+03
