        1     0.140555441E+00
        2     0.770018816E+00
        3     0.534343719E+00
        4     0.000000000E+00
        5     0.000000000E+00
        6     0.900748849E+00
        7     0.000000000E+00
        8     0.807538390E+00
        9     0.431330204E+00
       10     0.155440688E+00
       11     0.000000000E+00
       12     0.000000000E+00
       13     0.000000000E+00
       14     0.000000000E+00
       15     0.785184681E+00
       16     0.000000000E+00
       17     0.844403923E+00
       18     0.000000000E+00
       19     0.000000000E+00
       20     0.000000000E+00
       21     0.960127711E-01
       22     0.614183247E+00
       23     0.180073619E+00
       24     0.187653244E+00
       25     0.000000000E+00
       26     0.000000000E+00
       27     0.000000000E+00
       28     0.934004366E+00
       29     0.000000000E+00
       30     0.343821406E+00
       31     0.557189643E+00
       32     0.000000000E+00
       33     0.115214229E+00
       34     0.717106462E-01
       35     0.829952776E+00
       36     0.000000000E+00
       37     0.000000000E+00
       38     0.000000000E+00
       39     0.607583821E+00
       40     0.508084834E+00
       41     0.950466275E+00
       42     0.345775664E+00
       43     0.933561683E+00
       44     0.801666975E+00
       45     0.000000000E+00
       46     0.000000000E+00
       47     0.000000000E+00
       48     0.480135858E+00
       49     0.000000000E+00
       50     0.000000000E+00
