        1     0.523948095E-02     0.000000000E+00     0.000000000E+00
        2     0.177123549E-03     0.230744791E-01     0.342172834E-05
        3     0.000000000E+00     0.000000000E+00     0.000000000E+00
        4     0.000000000E+00     0.000000000E+00     0.682308986E-02
        5     0.000000000E+00     0.000000000E+00     0.618846491E-03
        6     0.000000000E+00     0.000000000E+00     0.000000000E+00
        7     0.000000000E+00     0.000000000E+00     0.644922868E-02
        8     0.165436745E-04     0.000000000E+00     0.000000000E+00
        9     0.000000000E+00     0.237876108E-01     0.178406177E-03
       10     0.754114306E-01     0.000000000E+00     0.716872001E-01
       11     0.369551149E-04     0.000000000E+00     0.511964329E-07
       12     0.109359442E-01     0.107390271E-06     0.493363872E-01
       13     0.000000000E+00     0.000000000E+00     0.000000000E+00
       14     0.000000000E+00     0.000000000E+00     0.000000000E+00
       15     0.000000000E+00     0.000000000E+00     0.315834491E-01
       16     0.000000000E+00     0.111457400E-01     0.882994412E-03
       17     0.000000000E+00     0.000000000E+00     0.521519318E-02
       18     0.000000000E+00     0.000000000E+00     0.174510726E-02
       19     0.000000000E+00     0.000000000E+00     0.000000000E+00
       20     0.269630376E-01     0.257916952E-04     0.000000000E+00
       21     0.208155310E-03     0.000000000E+00     0.838229614E-03
       22     0.000000000E+00     0.000000000E+00     0.000000000E+00
       23     0.000000000E+00     0.351693999E-01     0.721808784E-08
       24     0.000000000E+00     0.646735045E-01     0.327604958E-01
       25     0.438101797E-01     0.126188592E-02     0.451584838E-01
       26     0.000000000E+00     0.152339141E-01     0.000000000E+00
       27     0.705795648E-02     0.710896135E-05     0.771183679E-05
       28     0.264246786E-02     0.596375917E-01     0.642495883E-03
       29     0.000000000E+00     0.000000000E+00     0.000000000E+00
       30     0.000000000E+00     0.129226675E-04     0.000000000E+00
       31     0.254067773E-01     0.000000000E+00     0.000000000E+00
       32     0.000000000E+00     0.990552509E-01     0.182866070E-01
       33     0.384915470E-04     0.000000000E+00     0.224421298E-01
       34     0.000000000E+00     0.000000000E+00     0.226231848E-01
       35     0.000000000E+00     0.000000000E+00     0.689320126E-03
       36     0.000000000E+00     0.000000000E+00     0.000000000E+00
       37     0.614712894E-05     0.618165926E-01     0.000000000E+00
       38     0.000000000E+00     0.000000000E+00     0.000000000E+00
       39     0.215289986E-01     0.274452984E-05     0.218913370E-04
       40     0.000000000E+00     0.969850939E-06     0.990600128E-01
       41     0.680916620E-04     0.000000000E+00     0.128514468E-07
       42     0.000000000E+00     0.000000000E+00     0.000000000E+00
       43     0.962694780E-03     0.000000000E+00     0.102054876E-03
       44     0.000000000E+00     0.890262312E-01     0.000000000E+00
       45     0.133143422E-01     0.000000000E+00     0.000000000E+00
       46     0.000000000E+00     0.411267533E-02     0.000000000E+00
       47     0.108091200E-03     0.000000000E+00     0.128122512E-02
       48     0.668011245E-02     0.000000000E+00     0.597444717E-01
       49     0.254291959E-03     0.000000000E+00     0.498864954E-02
       50     0.000000000E+00     0.000000000E+00     0.555148371E-06
