        1     0.221407320E+03     0.158674486E+03     0.987658739E+07     0.457722008E+07
        2     0.100859084E+03     0.210542314E+03     0.993056238E+07     0.694245040E+07
        3     0.176282973E+03     0.357490847E+03     0.561136961E+07     0.656527877E+06
        4     0.866224766E+01     0.174646547E+03     0.903321683E+07     0.130895257E+07
        5     0.817893505E+01     0.331731169E+03     0.583201110E+07     0.292946041E+07
        6     0.322848165E+03     0.562414598E+02     0.100788653E+07     0.188089371E+07
        7     0.269511452E+03     0.294178140E+03     0.460318744E+07     0.827905774E+07
        8     0.316926384E+03     0.330901723E+03     0.107783735E+07     0.995622218E+07
        9     0.155309236E+03     0.261579087E+03     0.619475901E+07     0.778718233E+07
       10     0.179365025E+03     0.300712345E+03     0.894668758E+07     0.276269078E+07
       11     0.289904845E+03     0.224067235E+02     0.731567442E+07     0.372227728E+07
       12     0.704511166E+02     0.134469910E+03     0.860813081E+07     0.954671860E+07
       13     0.557622886E+02     0.140504987E+03     0.931503594E+07     0.853046656E+07
       14     0.318873711E+03     0.247767663E+03     0.579860806E+07     0.217358053E+07
       15     0.269569795E+03     0.205564563E+03     0.137141943E+07     0.143928111E+07
       16     0.296754756E+03     0.234521756E+03     0.397339165E+07     0.498726964E+06
       17     0.323135269E+03     0.294836762E+03     0.594903529E+07     0.977350533E+07
       18     0.657625937E+02     0.186710801E+03     0.252615929E+07     0.976089239E+06
       19     0.147993264E+03     0.188696623E+01     0.322883606E+07     0.919136167E+07
       20     0.270017509E+03     0.255772405E+03     0.641483247E+07     0.416109264E+07
       21     0.698756862E+02     0.328529406E+03     0.649304986E+06     0.943316817E+06
       22     0.311224372E+03     0.197323358E+03     0.188465118E+07     0.847942472E+07
       23     0.270904870E+03     0.461521268E+02     0.381663680E+07     0.610160887E+07
       24     0.189662218E+03     0.257654157E+03     0.777600348E+07     0.253543794E+07
       25     0.261731458E+03     0.209662549E+03     0.773594737E+07     0.539791644E+07
       26     0.290251193E+03     0.282065456E+03     0.704294741E+07     0.567619801E+06
       27     0.168811798E+02     0.467650867E+02     0.869444728E+07     0.362169027E+07
       28     0.173586452E+03     0.160906019E+03     0.281005442E+07     0.172035277E+07
       29     0.799392915E+02     0.345658422E+02     0.606206000E+07     0.465734899E+07
       30     0.308549566E+03     0.203303139E+03     0.913814723E+07     0.313344777E+07
       31     0.286263521E+03     0.229884710E+03     0.251222730E+07     0.845942140E+07
       32     0.661994290E+02     0.251673946E+03     0.696872652E+07     0.159439147E+07
       33     0.103826230E+03     0.336496918E+03     0.323360622E+07     0.701263666E+07
       34     0.268256307E+02     0.240782139E+03     0.881884933E+07     0.630401254E+07
       35     0.643869209E+02     0.988768029E+02     0.291556180E+07     0.532863438E+07
       36     0.611266851E+02     0.174993474E+03     0.495309293E+07     0.752292335E+07
       37     0.198218079E+03     0.229980712E+03     0.422363937E+07     0.507468998E+07
       38     0.248454416E+03     0.343001425E+03     0.311876237E+07     0.346444786E+07
       39     0.205737555E+03     0.774237871E+02     0.908016205E+07     0.683686852E+07
       40     0.329055440E+03     0.331770372E+03     0.844436705E+07     0.842824876E+07
       41     0.298184137E+03     0.298519714E+03     0.412283003E+07     0.747032821E+07
       42     0.336689072E+03     0.315009356E+02     0.364884079E+07     0.800074935E+06
       43     0.967937994E+02     0.273623514E+02     0.576473057E+07     0.325176120E+07
       44     0.222175226E+03     0.160956552E+03     0.454723954E+07     0.425268590E+07
       45     0.203403003E+03     0.343806388E+03     0.193169236E+07     0.184093416E+07
       46     0.205067217E+03     0.120947456E+03     0.590223670E+06     0.249991417E+06
       47     0.285844538E+03     0.134907732E+03     0.692880332E+07     0.365461528E+07
       48     0.203499756E+03     0.268402412E+03     0.557662189E+07     0.748940766E+07
       49     0.393895268E+02     0.324418201E+03     0.695329905E+06     0.157908022E+07
       50     0.258236861E+03     0.242984040E+03     0.352350414E+07     0.407102108E+07
