        1     0.359121437E+03     0.114646540E+03     0.684914303E+02     0.566824675E+07     0.596819818E+07     0.312340081E+07
        2     0.517468500E+02     0.262588863E+03     0.298823040E+03     0.662463546E+07     0.796914995E+07     0.556323707E+07
        3     0.282838125E+03     0.905346179E+02     0.100814881E+03     0.753395319E+07     0.410058022E+07     0.878298998E+07
        4     0.111751986E+02     0.137116756E+03     0.289157560E+03     0.422183812E+07     0.893244863E+07     0.235610843E+07
        5     0.471515608E+02     0.110211067E+03     0.780246449E+02     0.179902315E+07     0.908863425E+07     0.525035858E+06
        6     0.776059628E+02     0.240192761E+03     0.466485500E+01     0.821229577E+07     0.169798911E+07     0.419631839E+07
        7     0.149915593E+03     0.246137030E+03     0.145537112E+03     0.575036168E+07     0.125602305E+07     0.479961574E+07
        8     0.498465586E+02     0.638710999E+02     0.199421575E+03     0.439839125E+07     0.166780353E+07     0.402396560E+07
        9     0.743011379E+02     0.226765966E+02     0.306090109E+03     0.489505053E+07     0.279212236E+07     0.270593166E+05
       10     0.848552656E+02     0.396652579E+02     0.280932105E+03     0.526669562E+07     0.216971040E+07     0.790650964E+07
       11     0.105114977E+03     0.199552338E+03     0.348370349E+03     0.264273345E+07     0.154996574E+07     0.756754398E+07
       12     0.180128381E+03     0.105535526E+03     0.710359240E+02     0.544824898E+07     0.665444136E+07     0.902420223E+07
       13     0.262458894E+03     0.237140472E+03     0.476794410E+02     0.133723855E+07     0.709753275E+07     0.100854099E+07
       14     0.303876600E+03     0.143926842E+03     0.331415505E+03     0.363445222E+07     0.797785223E+07     0.252501905E+07
       15     0.353544610E+03     0.252825258E+03     0.309859729E+03     0.114493251E+07     0.362288773E+07     0.403874040E+07
       16     0.151759450E+03     0.333016355E+03     0.329382133E+02     0.913202047E+07     0.862017691E+07     0.982546031E+07
       17     0.230779281E+03     0.658089209E+02     0.123571408E+03     0.273926735E+07     0.540667474E+07     0.583500504E+07
       18     0.317081351E+03     0.149970095E+03     0.225647442E+03     0.687181115E+07     0.671177447E+07     0.962487638E+07
       19     0.259044785E+03     0.302660122E+03     0.180743122E+02     0.750819683E+07     0.751104295E+07     0.690667450E+07
       20     0.143165073E+03     0.796736240E+02     0.198973539E+03     0.436425328E+07     0.939583123E+07     0.198541462E+07
       21     0.318655465E+03     0.520378590E+02     0.215254118E+03     0.825340986E+07     0.661497414E+07     0.174748003E+07
       22     0.105993562E+03     0.255177448E+03     0.385783195E+02     0.392425001E+07     0.636944830E+07     0.605658233E+07
       23     0.243818207E+03     0.104685309E+03     0.275081348E+03     0.156865239E+07     0.110661983E+07     0.664143562E+07
       24     0.739206290E+02     0.889657187E+02     0.226774743E+03     0.326228559E+07     0.913895249E+07     0.704971910E+07
       25     0.242075479E+03     0.111887169E+03     0.443679428E+02     0.749450386E+07     0.587397635E+07     0.463240921E+07
       26     0.110586834E+03     0.627479839E+02     0.123932154E+03     0.388778329E+07     0.267561913E+07     0.735583305E+07
       27     0.241418295E+03     0.263110542E+02     0.330851877E+03     0.154170930E+07     0.279875994E+06     0.187346339E+07
       28     0.120354860E+03     0.354458771E+03     0.561656713E+02     0.345585644E+07     0.959968865E+07     0.698858798E+07
       29     0.259523292E+03     0.971097851E+02     0.283990638E+03     0.669097543E+07     0.332202852E+07     0.288325489E+07
