        1     0.574337045E+02
        2     0.295489215E+04
        3     0.407514691E+01
        4     0.385652751E+05
        5     0.000000000E+00
        6     0.118278623E+05
        7     0.000000000E+00
        8     0.000000000E+00
        9     0.119418147E+03
       10     0.341619342E+05
       11     0.813791550E+05
       12     0.000000000E+00
       13     0.000000000E+00
       14     0.465797817E+05
       15     0.289199800E+01
       16     0.133765315E+04
       17     0.269012782E+03
       18     0.000000000E+00
       19     0.584834784E+04
       20     0.000000000E+00
       21     0.592560778E+05
       22     0.183195659E+03
       23     0.210344096E+04
       24     0.166956683E+05
       25     0.000000000E+00
       26     0.000000000E+00
       27     0.000000000E+00
       28     0.353672362E+04
       29     0.000000000E+00
       30     0.546180760E+05
       31     0.155363291E+05
       32     0.000000000E+00
       33     0.202248491E+02
       34     0.331950404E+05
       35     0.182207067E+05
       36     0.000000000E+00
       37     0.583463293E+04
       38     0.298257244E+02
       39     0.000000000E+00
       40     0.153315426E+05
       41     0.409358418E+01
       42     0.000000000E+00
       43     0.370787368E+03
       44     0.000000000E+00
       45     0.133798460E-02
       46     0.639578643E-01
       47     0.519170160E+05
       48     0.000000000E+00
       49     0.000000000E+00
       50     0.000000000E+00
