m1    m2    nbkg    nsig    nexpsig
400    250    802    -81    29
450    200    131    -7    31
450    300    866    -81    14
500    200    139    -7    24
500    300    391    -53    15
500    400    1082    -87    1
400    300    4772    -175    11
450    250    244    -31    23
450    350    4772    -175    5
550    200    139    -7    17
500    250    148    -9    18
500    350    3312    -167    14
550    250    131    -7    14
550    300    187    -14    11
400    200    178    -12    37
550    350    402    -53    8
550    400    4772    -175    8
600    200    148    -9    10
600    250    148    -9    10
600    300    148    -9    9
600    350    235    -31    7
600    400    576    -63    5
