m1    m2    nbkg    nsig    nexpsig
750    200    17    -4    2
750    250    17    -4    2
800    300    17    -4    2
750    300    17    -4    2
750    400    28    3    3
650    200    28    3    4
650    300    28    3    5
650    400    40    5    5
700    250    28    3    4
800    200    17    -4    2
700    350    28    3    4
800    350    17    -4    2
800    400    17    -4    2
800    250    17    -4    2
750    350    17    -4    3
650    250    28    3    5
650    350    40    5    5
700    200    28    3    4
700    300    28    3    4
700    400    40    5    5
